false,Protoss,NORMAL_PLAY,NOTHING,Protoss,Hivemind,8,fb98f70052bd29c0cfea343cf9608a5790a21d8b,2,1754816488095
true,Protoss,OPEN_DT_RUSH,PvA_FASTER_CORE,Zerg,Hivemind,4,d2f5633cc4bb0fca13cd1250729d5530c82c7451,2,1757326231585
false,Protoss,OPEN_DT_RUSH,PvA_FASTER_CORE,Zerg,Hivemind,4,d2f5633cc4bb0fca13cd1250729d5530c82c7451,2,1757326910552
