5 122 159 3861 0 421
5 122 161 3854 0 473
5 122 162 3854 0 447
5 122 162 3861 0 421
5 122 162 3874 0 185
5 122 162 3875 0 133
5 122 166 3854 0 473
5 122 183 3875 -132 126
5 122 187 3871 -176 194
5 122 188 3872 -153 178
5 122 189 3872 -153 178
5 122 190 3871 -176 194
5 122 190 3872 -153 178
5 122 191 3872 -153 178
5 122 192 3871 -176 194
5 122 193 3871 -176 194
5 122 193 3873 -170 162
5 122 194 3872 -170 162
5 122 194 3872 -153 178
5 122 194 3873 -170 162
5 122 195 3871 -176 194
5 122 198 3839 74 494
5 122 212 3875 0 157
5 122 218 3862 0 395
5 122 218 3875 0 133
5 122 219 3874 0 235
5 122 226 3875 0 104
5 122 229 3877 0 78
5 122 230 3876 0 104
5 122 235 3875 0 104
5 122 237 3875 0 157
5 122 244 3859 -129 428
5 122 247 3853 -155 471
5 122 247 3856 -159 445
5 122 248 3851 -148 449
5 122 255 3932 -290 0
5 122 266 3940 -421 0
5 122 273 3853 -345 361
5 122 273 3854 -361 345
5 122 273 3854 -353 353
5 122 274 3851 -345 361
5 122 276 3853 -361 345
5 122 289 3910 -485 0
2 118 139 3763 -62 -115
2 118 141 3759 -35 -285
2 118 155 3771 -104 0
2 118 155 3777 -104 0
2 118 155 3778 -104 0
2 118 155 3786 -104 0
2 118 155 3789 -78 0
2 118 155 3795 -104 0
2 118 155 3810 -104 0
2 118 155 3813 -104 0
2 118 156 3773 -130 0
2 118 156 3780 -113 108
2 118 158 3771 -157 0
2 118 161 3763 -195 215
2 118 162 3812 -234 17
2 118 163 3765 -261 0
2 118 163 3773 -261 0
2 118 163 3812 -261 0
2 118 180 3822 -457 -203
2 118 181 3813 -473 0
2 118 182 3813 -500 0
2 118 185 3814 -500 -25
2 118 190 3814 -497 -11
2 117 137 3820 15 -302
2 117 139 3723 98 184
2 117 146 3801 -74 -494
2 117 150 3782 -98 -437
2 117 152 3738 -130 0
2 117 155 3732 -104 0
2 117 155 3733 -104 0
2 117 155 3736 -104 0
2 117 155 3746 -104 0
2 117 155 3749 -104 0
2 117 155 3750 -104 0
2 117 155 3751 -104 0
2 117 155 3754 -104 0
2 117 155 3756 -104 0
2 117 155 3759 -104 0
2 117 155 3763 -78 0
2 117 155 3764 -104 0
2 117 155 3769 -104 0
2 117 155 3775 -104 0
2 117 155 3777 -104 0
2 117 155 3787 -104 0
2 117 156 3751 -130 -167
2 117 157 3769 -157 0
2 117 157 3775 -157 0
2 117 158 3732 -157 0
2 117 158 3751 -157 0
2 117 159 3754 -182 21
2 117 160 3733 -182 21
2 117 160 3751 -182 21
2 117 160 3806 -224 -447
2 117 163 3732 -261 0
2 117 163 3750 -261 0
2 117 163 3751 -261 0
2 117 163 3754 -261 0
2 117 178 3707 -500 0
2 117 178 3813 -500 0
2 115 138 3725 2 130
2 115 139 3724 0 26
2 115 143 3783 -60 -496
2 115 149 3720 -157 0
2 115 154 3770 -191 -462
2 115 155 3718 -104 0
2 115 155 3719 -104 0
2 115 155 3722 -104 0
2 115 155 3723 -104 0
2 115 163 3722 -261 0
2 115 164 3760 -345 -361
2 115 166 3722 -287 0
2 115 167 3660 -407 111
2 115 168 3764 -345 -361
2 115 168 3765 -345 -361
2 115 171 3767 -353 -353
2 115 176 3730 -471 23
2 115 180 3707 -500 0
2 115 193 3729 -366 18
2 115 194 3731 -340 0
3 122 139 3854 0 447
3 122 139 3854 0 473
3 122 140 3861 -21 421
3 122 141 3857 -33 445
3 122 141 3861 -31 419
3 122 141 3876 -96 92
3 122 146 3870 -193 213
3 122 171 3845 -353 353
3 122 171 3852 -287 408
3 122 175 3855 -353 353
3 122 178 3847 -345 361
3 122 179 3868 -345 361
3 122 180 3848 -345 361
3 122 180 3848 -335 371
3 122 203 3889 -419 41
2 120 150 3862 -150 -421
2 120 159 3837 -235 245
2 120 160 3828 -189 180
2 120 160 3829 -189 180
2 120 160 3830 -189 180
2 120 160 3831 -189 180
2 120 160 3833 -189 180
2 120 160 3834 -189 180
2 120 160 3835 -189 180
2 120 160 3836 -189 180
2 120 160 3837 -189 180
2 120 160 3838 -189 180
2 120 160 3842 -189 180
2 120 162 3826 -208 198
2 120 177 3816 -494 74
2 120 180 3816 -500 0
2 120 181 3815 -498 37
2 120 182 3838 -500 0
2 120 187 3813 -500 0
2 120 188 3811 -392 8
2 120 188 3812 -392 0
2 120 188 3817 -500 0
2 120 189 3811 -392 8
2 120 191 3806 -492 85
2 120 192 3812 -366 0
2 120 200 3838 -500 0
1 116 139 3744 0 -500
1 116 147 3741 -326 -378
1 116 149 3730 -468 -70
1 116 149 3731 -466 -81
1 116 150 3745 -335 -371
1 116 151 3745 -335 -371
2 121 142 3819 -97 490
2 121 156 3855 -212 423
2 121 156 3875 -96 123
2 121 158 3868 -219 228
2 121 160 3859 -189 180
2 121 160 3860 -189 180
2 121 160 3860 -176 194
2 121 160 3861 -189 180
2 121 160 3862 -189 180
2 121 160 3863 -189 180
2 121 160 3863 -176 194
2 121 160 3864 -189 180
2 121 160 3865 -189 180
2 121 160 3866 -189 180
2 121 160 3866 -176 194
2 121 160 3867 -189 180
2 121 160 3867 -176 194
2 121 160 3868 -189 180
2 121 160 3869 -189 180
2 121 160 3870 -189 180
2 121 160 3871 -189 180
2 121 160 3871 -170 162
2 121 168 3880 -421 -21
2 121 171 3880 -224 447
1 119 52 3885 0 -447
1 119 142 3809 -132 482
1 119 149 3814 -466 179
1 119 150 3831 -492 -85
1 119 155 3815 -498 48
1 119 158 3817 -498 37
124 9 3900 326 366 0
124 9 3901 267 340 0
124 9 3910 326 500 -25
124 9 3911 333 462 -191
124 9 3912 331 296 -402
124 9 3916 325 500 0
124 9 3920 338 463 -81
124 9 3925 325 421 0
124 9 3927 325 395 0
124 9 3932 325 369 0
124 9 3932 361 291 -339
124 9 3933 300 261 0
124 9 3933 325 261 0
124 9 3935 277 175 194
124 9 3936 276 177 196
124 9 3937 301 209 0
124 9 3938 326 180 -31
124 9 3939 276 130 0
124 9 3939 283 130 0
124 9 3939 324 130 0
124 9 3939 325 130 0
124 9 3940 322 104 0
124 9 3940 324 185 0
124 9 3940 325 157 0
124 9 3941 310 104 0
124 9 3955 251 18 366
124 9 3956 361 0 -366
124 9 3965 267 488 -109
124 11 3902 325 500 0
124 11 3902 328 500 0
124 11 3905 324 366 0
124 11 3905 325 366 0
124 11 3906 317 490 97
124 11 3906 323 500 0
124 11 3906 327 392 -20
124 11 3923 330 252 69
124 11 3925 329 424 139
124 11 3932 390 369 0
124 11 3934 334 198 207
