52,1,1654,98,360,-266
52,1,1663,114,10,-473
52,1,1667,115,203,-457
52,1,1684,110,0,-447
3,124,139,3946,0,264
3,124,141,3917,-24,473
3,124,152,3910,-144,478
3,124,155,3943,-106,-298
3,124,160,3955,130,-26
3,124,167,3940,-134,163
3,124,169,3952,-79,-167
3,124,170,3946,-188,-255
3,124,171,3955,-131,-26
3,124,175,3935,-335,371
3,124,176,3908,-277,416
3,124,176,3931,-345,361
3,124,178,3924,-345,361
3,124,178,3938,-116,141
3,124,179,3924,-345,361
3,124,180,3936,-176,194
3,124,181,3911,-345,361
3,124,181,3937,-176,194
3,124,182,3910,-335,371
3,124,182,3911,-345,361
3,124,182,3923,-335,371
3,124,183,3927,-345,361
3,124,184,3918,-345,361
3,124,184,3936,-199,207
3,124,186,3949,-309,145
3,124,200,3946,-464,92
3,124,201,3946,-403,121
3,124,201,3946,-400,131
3,124,202,3940,-400,200
3,124,204,3943,-421,150
3,124,204,3945,-428,129
3,124,205,3945,-428,129
3,124,211,3944,-457,125
3,124,216,3911,-333,332
3,124,217,3920,-402,296
3,124,218,3976,-500,0
73,124,2335,3916,330,209
73,124,2365,3911,-296,402
73,124,2373,3919,-484,121
73,124,2376,3917,-474,156
78,124,2519,3915,466,179
78,124,2527,3924,500,0
78,124,2528,3924,500,0
75,124,2431,3907,316,386
75,124,2435,3924,74,248
75,124,2442,3902,0,500
75,124,2443,3921,0,447
38,124,1148,3939,433,217
38,124,1158,3924,466,179
38,124,1160,3925,466,179
38,124,1160,3938,404,155
38,124,1161,3920,361,345
38,124,1162,3920,361,345
38,124,1162,3947,464,92
38,124,1162,3956,471,0
38,124,1167,3957,235,0
38,124,1169,3933,500,0
38,124,1169,3938,340,170
38,124,1175,3945,396,141
38,124,1185,3908,368,333
38,124,1185,3948,300,133
38,124,1193,3898,180,319
38,124,1194,3937,175,194
38,124,1201,3894,123,344
38,124,1201,3896,25,338
38,124,1204,3895,0,314
38,124,1204,3896,0,314
38,124,1207,3895,0,314
38,124,1208,3898,66,333
38,124,1208,3936,207,198
38,124,1210,3895,0,314
38,124,1211,3899,62,360
38,124,1213,3895,23,312
38,124,1215,3895,7,314
38,124,1215,3946,494,74
38,124,1216,3895,0,314
38,124,1216,3898,0,340
38,124,1216,3898,0,361
38,124,1216,3899,0,340
38,124,1216,3920,386,316
38,124,1217,3906,332,332
38,124,1219,3895,0,314
38,124,1220,3939,80,103
38,124,1223,3895,0,314
38,124,1228,3938,153,178
38,124,1233,3895,0,314
38,124,1234,3937,175,194
38,124,1235,3906,332,332
38,124,1241,3895,0,314
38,124,1247,3895,0,314
41,124,1236,3956,500,0
41,124,1237,3956,500,0
41,124,1238,3950,496,60
41,124,1239,3956,500,0
41,124,1249,3953,492,85
41,124,1252,3953,488,109
41,124,1252,3954,492,85
41,124,1282,3955,181,40
41,124,1283,3954,204,56
41,124,1284,3955,131,22
41,124,1291,3913,353,353
41,124,1291,3956,348,-187
41,124,1292,3931,345,361
41,124,1296,3956,147,60
41,124,1301,3900,306,394
41,124,1302,3901,306,394
41,124,1303,3901,306,394
41,124,1332,3891,0,500
41,124,1332,3928,0,395
41,124,1332,3951,189,-163
41,124,1332,3954,78,-61
74,123,2331,3910,445,158
74,123,2333,3913,431,118
74,123,2364,3858,0,500
74,123,2364,3867,0,500
74,123,2364,3896,0,395
74,123,2368,3863,0,314
74,123,2368,3866,0,340
74,123,2384,3863,0,314
74,123,2384,3902,0,261
74,123,2385,3863,0,314
74,123,2385,3908,0,183
74,123,2392,3885,-92,464
74,123,2396,3863,0,314
74,123,2397,3863,0,314
74,123,2398,3863,0,314
74,123,2408,3909,0,183
74,123,2411,3863,0,314
74,123,2417,3863,0,314
74,123,2419,3863,0,314
74,123,2420,3863,0,314
74,123,2423,3863,0,314
74,123,2433,3863,0,314
80,123,2494,3920,494,74
80,123,2497,3921,492,85
80,123,2505,3924,473,0
80,123,2507,3923,482,132
80,123,2510,3924,381,281
80,123,2519,3913,458,114
80,123,2524,3914,433,108
80,123,2534,3923,130,28
77,123,2409,3888,361,345
77,123,2410,3886,353,353
77,123,2440,3904,207,198
77,123,2463,3874,332,332
77,123,2465,3870,264,323
77,123,2470,3868,225,320
77,123,2493,3904,116,262
77,123,2499,3881,10,473
71,123,2273,3892,485,0
71,123,2274,3873,224,447
71,123,2283,3879,0,500
71,123,2318,3900,-29,43
71,123,2326,3868,-287,408
71,123,2332,3873,-325,340
71,123,2356,3932,0,-26
71,123,2374,3877,-123,372
71,123,2374,3881,-130,397
71,123,2375,3879,-150,390
71,123,2383,3883,-335,371
71,123,2383,3883,-326,378
71,123,2384,3886,-378,326
71,123,2392,3884,-361,345
71,123,2393,3884,-361,345
71,123,2408,3916,-490,97
42,123,1281,3905,340,325
42,123,1281,3906,340,325
42,123,1281,3953,492,85
42,123,1282,3906,340,325
42,123,1283,3891,340,325
42,123,1283,3894,332,332
42,123,1283,3899,332,332
42,123,1283,3900,332,332
42,123,1283,3902,332,332
42,123,1283,3903,316,349
42,123,1283,3903,332,332
42,123,1283,3905,332,332
42,123,1283,3906,340,325
42,123,1283,3917,353,353
42,123,1284,3906,332,332
42,123,1286,3956,500,0
42,123,1287,3885,358,343
42,123,1288,3955,494,74
42,123,1289,3932,473,0
42,123,1291,3905,353,353
42,123,1293,3956,473,0
42,123,1298,3891,342,327
42,123,1304,3897,323,309
42,123,1307,3900,304,291
42,123,1307,3901,312,282
42,123,1308,3900,304,291
42,123,1308,3924,291,304
42,123,1310,3922,291,304
42,123,1313,3956,290,0
42,123,1319,3918,-425,175
42,123,1323,3865,121,484
42,123,1323,3917,-298,168
42,123,1335,3915,-25,-5
42,123,1335,3920,-109,-182
2,123,144,3918,0,-130
2,123,147,3906,-114,458
2,123,148,3907,-85,492
2,123,153,3889,-144,478
2,123,155,3878,-441,236
2,123,155,3915,-179,466
2,123,156,3879,-441,236
2,123,157,3929,-233,350
2,123,158,3916,-230,384
2,123,159,3916,-58,334
2,123,160,3876,-500,0
2,123,160,3925,-257,365
2,123,161,3925,-266,360
2,123,161,3928,-283,346
2,123,163,3931,-291,304
2,123,164,3907,-267,421
2,123,165,3876,-500,0
2,123,165,3930,-316,316
2,123,167,3917,-306,394
2,123,167,3918,-361,345
2,123,167,3922,-318,351
2,123,168,3924,-318,351
2,123,171,3910,-345,361
2,123,171,3911,-345,361
2,123,171,3916,-345,361
2,123,171,3919,-345,361
2,123,171,3937,-421,0
2,123,172,3961,-91,-408
2,123,174,3907,-353,353
2,123,174,3910,-353,353
2,123,174,3911,-353,353
2,123,174,3914,-353,353
2,123,174,3917,-353,353
2,123,174,3919,-353,353
2,123,175,3929,-447,0
2,123,176,3920,-361,345
2,123,178,3904,-500,0
2,123,178,3906,-353,353
2,123,178,3910,-353,353
2,123,178,3912,-361,345
2,123,178,3912,-353,353
2,123,179,3904,-287,408
2,123,180,3945,-316,386
2,123,180,3946,-361,345
2,123,181,3899,-353,353
2,123,181,3900,-353,353
2,123,181,3902,-353,353
2,123,181,3903,-353,353
2,123,181,3904,-353,353
2,123,181,3910,-353,353
2,123,181,3912,-353,353
2,123,182,3900,-287,408
2,123,182,3902,-353,353
2,123,182,3913,-361,345
2,123,182,3939,-316,386
2,123,182,3940,-316,386
2,123,184,3936,-345,361
2,123,184,3950,-490,97
2,123,185,3896,-277,416
2,123,185,3903,-351,351
2,123,185,3905,-351,351
2,123,185,3906,-334,368
2,123,185,3907,-351,351
2,123,185,3916,-345,361
2,123,186,3909,-359,343
2,123,186,3930,-345,361
2,123,186,3931,-345,361
2,123,186,3962,-466,-179
2,123,188,3891,-340,325
2,123,188,3892,-340,325
2,123,188,3893,-340,325
2,123,188,3895,-340,325
2,123,188,3896,-340,325
2,123,188,3897,-340,325
2,123,188,3898,-340,325
2,123,188,3900,-340,325
2,123,188,3901,-340,325
2,123,188,3902,-340,325
2,123,188,3903,-340,325
2,123,188,3904,-340,325
2,123,188,3905,-340,325
2,123,188,3906,-340,325
2,123,188,3913,-345,361
2,123,188,3925,-345,361
2,123,189,3891,-340,325
2,123,189,3892,-340,325
2,123,189,3895,-340,325
2,123,189,3896,-340,325
2,123,189,3897,-340,325
2,123,189,3900,-340,325
2,123,189,3900,-325,340
2,123,189,3901,-340,325
2,123,189,3902,-340,325
2,123,189,3902,-316,349
2,123,189,3903,-340,325
2,123,189,3906,-340,325
2,123,189,3940,-500,0
2,123,190,3906,-340,325
2,123,191,3905,-350,316
2,123,192,3901,-321,307
2,123,192,3902,-321,307
2,123,193,3890,-378,326
2,123,193,3891,-378,326
2,123,193,3894,-378,326
2,123,193,3896,-378,326
2,123,193,3900,-378,326
2,123,194,3906,-386,316
2,123,194,3940,-500,0
2,123,199,3940,-500,0
2,123,203,3939,-500,0
2,123,204,3940,-500,0
2,123,204,3947,-492,85
2,123,205,3943,-498,-37
2,123,205,3947,-492,85
124,123,3905,3906,340,325
124,123,3905,3906,349,316
124,123,3906,3906,340,325
124,123,3907,3891,332,332
124,123,3907,3894,332,332
124,123,3907,3895,332,332
124,123,3907,3898,332,332
124,123,3908,3904,325,340
124,123,3910,3909,358,343
124,123,3932,3943,342,-8
124,123,3933,3925,291,304
124,123,3936,3876,500,0
124,123,3937,3921,-97,490
124,123,3940,3878,441,236
124,123,3943,3882,277,416
124,123,3944,3887,109,488
124,123,3944,3887,148,449
124,123,3945,3934,-104,0
124,123,3946,3891,139,424
124,123,3948,3929,58,334
124,123,3956,3923,167,-251
2,122,124,3883,-360,-80
2,122,124,3883,-25,-5
2,122,124,3883,-8,24
2,122,125,3883,9,-78
2,122,127,3883,25,-128
2,122,127,3883,26,0
2,122,127,3888,-185,-4
2,122,128,3883,22,-13
2,122,128,3883,26,0
2,122,128,3883,79,-97
2,122,128,3883,116,-58
2,122,129,3883,16,-20
2,122,129,3883,24,-10
2,122,133,3883,167,-130
2,122,136,3883,0,0
2,122,137,3891,-59,-51
2,122,137,3891,155,34
2,122,145,3879,26,1
2,122,159,3905,360,80
