2,10,107,299,0,0
2,10,124,299,-25,-5
2,10,124,299,-8,24
2,10,125,299,-59,-51
2,10,126,301,-319,-275
2,10,126,301,-19,-17
2,10,126,301,0,0
2,10,127,299,0,0
2,10,128,299,22,-13
2,10,130,299,-23,-12
2,10,130,306,-329,-219
2,10,130,306,173,116
2,10,131,301,-394,-262
2,10,132,307,-230,-130
2,10,134,299,187,-100
2,10,135,299,22,-12
2,10,135,299,233,-125
2,10,135,303,-442,-66
2,10,135,303,30,-207
2,10,136,307,-136,-123
2,10,136,307,-116,-105
2,10,137,299,0,0
2,10,137,299,11,-235
2,10,137,301,8,-183
2,10,137,304,9,-185
2,10,137,307,-63,-46
2,10,137,307,-48,-62
2,10,138,299,-25,-8
2,10,138,299,0,0
2,10,139,248,0,500
2,10,139,298,0,0
2,10,139,299,-26,-1
2,10,139,299,-22,-14
2,10,139,307,-210,-112
2,10,140,304,-390,161
2,10,140,307,151,41
2,10,140,308,49,92
2,10,140,309,100,187
2,10,141,307,62,83
2,10,144,307,157,-8
2,10,146,303,-53,-178
2,10,147,281,-114,378
2,10,152,262,-144,478
2,10,154,271,-120,290
2,10,157,345,-212,-424
2,10,159,350,-224,-447
2,10,160,355,-212,-451
2,10,161,355,-212,-451
2,10,162,355,-224,-447
2,10,164,356,-369,0
2,10,166,282,-283,271
2,10,168,285,-217,326
2,10,169,297,-396,141
2,10,169,300,-408,101
2,10,169,360,-421,0
2,10,172,279,-497,-11
2,10,172,297,-428,129
2,10,173,261,-335,371
2,10,173,297,-428,129
2,10,173,298,-426,128
2,10,173,299,-433,108
2,10,174,296,-428,129
2,10,174,299,-437,97
2,10,176,279,-471,-11
2,10,178,294,-446,158
2,10,178,356,-500,0
2,10,181,281,-444,-10
2,10,181,282,-444,-10
2,10,181,294,-500,0
2,10,182,275,-273,201
2,10,182,294,-498,37
2,10,182,296,-498,-37
2,10,182,324,-500,0
2,10,183,295,-498,37
2,10,184,293,-500,25
2,10,184,294,-500,0
2,10,185,290,-418,21
2,10,185,295,-500,0
2,10,185,296,-500,0
2,10,185,296,-488,109
2,10,186,295,-500,25
2,10,186,296,-500,-25
